order_id,customer_id,product_id,order_date,quantity,order_status,payment_method
ORD-5c9c4c17-fce3-4a11-9baa-aba885bc30d4,CUST-f04b7a38-0a51-4587-86c4-3461fac18b5e,PROD-577a23c6-5b4d-4041-813a-3a8b596ceb04,2025-01-01 18:00:00,4,Pending,PayPal
ORD-cbf71a29-22c0-4b2a-b52b-1710ebf3d8c4,CUST-8c4bf145-28aa-4df1-ba55-867d094a6012,PROD-043183ed-f499-422b-ac48-bf3d52113c94,2025-01-02 01:00:00,4,Cancelled,Apple Pay
ORD-ef696193-4f06-47d7-851f-e1cf3f2ae18f,CUST-23f7671e-dec0-4667-ac63-5a70e4723fdb,PROD-d70f9c69-d4aa-42b4-ace5-01904a73071a,2025-01-03 01:00:00,3,Cancelled,Credit Card
ORD-071a3799-5777-4271-be84-10678167e462,CUST-dd863142-b0bb-466d-bcb7-b726d7d2d0d1,PROD-e6c46fd7-4654-4fc5-9bae-d335fdd7223f,2025-01-03 12:00:00,3,Completed,Apple Pay
ORD-af263c89-58a8-4ce8-81c5-6fc1f323409b,CUST-7b207a1c-797a-419c-9e26-71ae5407ffad,PROD-a85036c2-6bc2-4de1-9d61-afa53c07995a,2025-01-03 14:00:00,2,Completed,Debit Card
ORD-f90b2acb-13a6-494b-8a4c-91f891b9b89b,CUST-12d56580-2e45-4bed-ad50-2bf5a3f11b22,PROD-aab0afe9-5df6-4b48-ae99-f322e3820802,2025-01-04 10:00:00,2,Completed,Credit Card
ORD-f386dee2-c357-46f4-beaf-11a28ec6c338,CUST-595fc0e9-42f4-4609-9899-722bc2b3068e,PROD-391c0c33-fe4c-43ec-a362-1a200b406e9f,2025-01-04 14:00:00,2,Completed,Credit Card
ORD-1c597979-af1c-4aa1-8e37-35269eb1fb4a,CUST-5c8c22b4-c76b-48d0-9132-c291ace8fdc6,PROD-51e479b3-f91a-4677-814a-cb82b2c3c107,2025-01-05 16:00:00,4,Completed,Credit Card
ORD-f32c7308-fd93-4d44-aac9-2ad0c75c0c1b,CUST-595fc0e9-42f4-4609-9899-722bc2b3068e,PROD-64314286-d564-4c55-9694-ee4b8b4d89c8,2025-01-06 16:00:00,1,Completed,PayPal
ORD-028563da-b6b4-4f62-8352-e1fd7379990c,CUST-e31ef663-c483-4b96-b41a-d92a7f22a284,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-06 19:00:00,4,Pending,PayPal
ORD-8116f8af-6fae-49db-8766-c3dfef3d12ea,CUST-46af5dcf-3e02-4a33-ab80-4e1decd46eca,PROD-a85036c2-6bc2-4de1-9d61-afa53c07995a,2025-01-07 08:00:00,3,Cancelled,Apple Pay
ORD-a2736f65-fc4a-42a4-afa4-bd63a14a7c3d,CUST-b4e5b0d5-ee4c-45d8-a36f-8c137d7e1b61,PROD-35dc3662-e193-4ac2-a527-af21c2f79d56,2025-01-07 22:00:00,4,Cancelled,Debit Card
ORD-1b3dc185-c643-4a31-98ed-450bcde983d7,CUST-c7acf430-20c3-4ba4-a019-3afdb079fed5,PROD-d70f9c69-d4aa-42b4-ace5-01904a73071a,2025-01-08 06:00:00,4,Cancelled,Debit Card
ORD-a392359e-67cf-44de-8a56-88267847ce45,CUST-3c0f69b1-f461-4b7c-837d-0fffba5143e9,PROD-aab0afe9-5df6-4b48-ae99-f322e3820802,2025-01-09 03:00:00,2,Cancelled,Apple Pay
ORD-76590ddb-7beb-4994-bb1b-e1a935b4022e,CUST-bcc4da93-f446-4277-a430-dbf40b1e1ef5,PROD-51e479b3-f91a-4677-814a-cb82b2c3c107,2025-01-09 09:00:00,2,Completed,Apple Pay
ORD-77d948d5-a251-43e2-9e7d-58140f111cf6,CUST-a4289b67-391a-44c9-96f2-a55d4588e16b,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-09 13:00:00,3,Completed,Debit Card
ORD-330827df-7aec-4387-9d45-a4ed1b96588f,CUST-6ec46708-ad17-493c-9512-ad1515121f08,PROD-043183ed-f499-422b-ac48-bf3d52113c94,2025-01-09 23:00:00,3,Pending,Apple Pay
ORD-3c36db01-5c97-4a0f-9d9c-514d440f3686,CUST-b14f5581-ad46-4259-9d4d-14dc3c37adf5,PROD-043183ed-f499-422b-ac48-bf3d52113c94,2025-01-10 16:00:00,2,Cancelled,Debit Card
ORD-1c489a5c-bf2c-4d8e-a17a-029515ce737b,CUST-4665d28f-3950-47c6-8315-d7d208754021,PROD-a85036c2-6bc2-4de1-9d61-afa53c07995a,2025-01-11 01:00:00,1,Pending,PayPal
ORD-4d8233cb-be2d-41c1-a7bd-4d7078253324,CUST-75b12d27-022d-445c-bfa6-ec8f96438a29,PROD-64314286-d564-4c55-9694-ee4b8b4d89c8,2025-01-12 06:00:00,3,Completed,Apple Pay
ORD-b2650686-e747-400a-b1f6-55e354ea6adc,CUST-dd863142-b0bb-466d-bcb7-b726d7d2d0d1,PROD-e6c46fd7-4654-4fc5-9bae-d335fdd7223f,2025-01-12 13:00:00,4,Completed,PayPal
ORD-5635e4fa-520d-4133-96ba-183a183e6dd4,CUST-2beaeac9-82b4-483a-847f-863073beef41,PROD-577a23c6-5b4d-4041-813a-3a8b596ceb04,2025-01-12 14:00:00,1,Completed,PayPal
ORD-8f88ae77-8c7b-44f8-9512-7f5604734abb,CUST-49e30b2f-0793-4b82-a757-1f2a59ee4fa6,PROD-35dc3662-e193-4ac2-a527-af21c2f79d56,2025-01-13 01:00:00,1,Completed,Debit Card
ORD-b993fc11-68e3-4528-b5b1-dbd738b9360c,CUST-79832843-194d-4dad-be01-2ebbf9b6d44f,PROD-2778f30b-81d5-4495-82c5-3eec31a4cb04,2025-01-13 06:00:00,1,Completed,Apple Pay
ORD-410dea00-8408-4432-8ff5-43c4d5293859,CUST-78beff06-655f-49aa-b57c-a58649f2447c,PROD-577a23c6-5b4d-4041-813a-3a8b596ceb04,2025-01-16 09:00:00,4,Completed,Credit Card
ORD-7dc467db-b2f6-4f61-8568-e442ae751732,CUST-5b42ff98-1b2d-487a-8dd0-c3998c92a9ad,PROD-d70f9c69-d4aa-42b4-ace5-01904a73071a,2025-01-17 05:00:00,2,Completed,Apple Pay
ORD-94e58842-93c2-420d-853c-ca2d714ef522,CUST-784174f9-a283-41cb-a2c1-0a93e7231263,PROD-2778f30b-81d5-4495-82c5-3eec31a4cb04,2025-01-17 22:00:00,2,Pending,PayPal
ORD-daf4bc10-5638-4c07-9bbc-b9e59279d9f3,CUST-bd7f7801-6209-41e8-bd56-46d4c8a38003,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-19 19:00:00,4,Completed,PayPal
ORD-878731e4-5443-41fa-b2d0-fbdd458b411a,CUST-de30a851-4634-48b0-8789-258191a4d145,PROD-aab0afe9-5df6-4b48-ae99-f322e3820802,2025-01-21 09:00:00,2,Completed,Debit Card
ORD-765ac9f8-6f4d-456e-b9b9-01341b46cebc,CUST-8c4bf145-28aa-4df1-ba55-867d094a6012,PROD-391c0c33-fe4c-43ec-a362-1a200b406e9f,2025-01-21 12:00:00,2,Pending,Debit Card
ORD-cc723bf8-44d1-4a9e-9e08-6dc51d8d3c61,CUST-8f3e5e6e-3f4c-4d9d-8b5a-fe4d3d9dbec4,PROD-391c0c33-fe4c-43ec-a362-1a200b406e9f,2025-01-22 04:00:00,4,Cancelled,Credit Card
ORD-649b7cf9-eb2f-4d9d-b71f-af6f5daadc93,CUST-07a4c495-269a-4d79-872d-fcecebe60095,PROD-391c0c33-fe4c-43ec-a362-1a200b406e9f,2025-01-22 13:00:00,2,Completed,PayPal
ORD-727d4bd6-f060-48c3-94e0-1a0abfca8d27,CUST-30852f6f-577f-4462-a34b-7fd2cb769e28,PROD-a85036c2-6bc2-4de1-9d61-afa53c07995a,2025-01-25 04:00:00,3,Cancelled,Credit Card
ORD-79858e4a-ca2a-446e-a35c-c145a9a9c984,CUST-4d10796f-41b0-4387-90d1-cc7d36100661,PROD-51e479b3-f91a-4677-814a-cb82b2c3c107,2025-01-25 20:00:00,2,Pending,PayPal
ORD-605507a9-f455-4454-8f4a-103af0e18511,CUST-441bac50-3db0-42d0-8e18-7fb89cdfb89c,PROD-577a23c6-5b4d-4041-813a-3a8b596ceb04,2025-01-26 02:00:00,3,Completed,Credit Card
ORD-76236595-3717-4833-b563-4dd0e84e5ddc,CUST-fdb82e26-21bc-4f0e-94bc-405d7ac3d2ff,PROD-577a23c6-5b4d-4041-813a-3a8b596ceb04,2025-01-26 14:00:00,3,Pending,Credit Card
ORD-9b39c231-7431-4f72-94fc-a31c196f6b33,CUST-57da39b5-3e40-472f-aad0-6bc1ca109eaf,PROD-e6c46fd7-4654-4fc5-9bae-d335fdd7223f,2025-01-26 19:00:00,2,Pending,Credit Card
ORD-8d60f574-c114-41f7-9a53-7eed632c98ea,CUST-dd863142-b0bb-466d-bcb7-b726d7d2d0d1,PROD-391c0c33-fe4c-43ec-a362-1a200b406e9f,2025-01-27 04:00:00,1,Completed,Credit Card
ORD-7b13b426-6832-4106-9c86-801ff62675f6,CUST-2e32404f-62f6-4529-94e7-8685c870dc28,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-27 06:00:00,3,Completed,Credit Card
ORD-70fb4ca5-b623-418c-a718-2cbff202743f,CUST-ed1abfb8-5b2c-4e5d-9dae-c49a86435a04,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-27 20:00:00,4,Completed,Apple Pay
ORD-aeacd6e3-e9ad-46a7-85ed-5f07cb4435d8,CUST-784174f9-a283-41cb-a2c1-0a93e7231263,PROD-64e93a84-4dbb-4661-9ec3-043dd1693d6e,2025-01-28 12:00:00,3,Completed,Credit Card
ORD-78f335e5-58d8-4109-a08d-7b0566048d02,CUST-de30a851-4634-48b0-8789-258191a4d145,PROD-aab0afe9-5df6-4b48-ae99-f322e3820802,2025-01-28 13:00:00,2,Completed,PayPal
