return_id,order_id,customer_id,return_date,reason,status
RET-e8b4aab0-0b69-421e-9e0b-439d4a98b990,ORD-0c7b101d-b46c-45c4-95a0-e2a723ef2156,CUST-44508570-a4aa-41a6-a987-9a6f4aced686,2026-02-16 21:00:00,Late Delivery,Approved
RET-60801efb-2735-4558-ad9d-623f652fb6b7,ORD-299ca654-f98c-4b66-a271-65a723cad090,CUST-441bac50-3db0-42d0-8e18-7fb89cdfb89c,2025-06-14 02:00:00,Late Delivery,Approved
RET-0ad508b7-8674-4af9-991e-51ae3684f32e,ORD-56b485f6-c0a5-468b-99f1-bf97bb2a5277,CUST-c98ec440-0f32-43ad-93e9-a9801f7fcefc,2025-05-04 05:00:00,Changed Mind,Approved
RET-8630820f-b83c-4f35-b0f4-36ded969f0f4,ORD-af9473e0-629b-4deb-a14f-e7d670758cb9,CUST-fd9cf896-01c4-4133-8d18-c8776b9b12f5,2025-06-13 14:00:00,Late Delivery,Approved
RET-92c5e390-bad7-4a9d-88be-a477355406ae,ORD-01edb3a3-cc18-41f7-9d6f-30cb667ff47e,CUST-9e999ef6-335c-4d00-90d4-6cc6aa6f7da3,2025-06-18 08:00:00,Wrong Size / Fit,Approved
RET-646cf356-7c16-4c8e-b365-710a10a68ef5,ORD-cce7a5a0-212a-4382-a02b-246710e957ac,CUST-66d6b5e7-eb41-4707-b8db-3151869d74f8,2026-08-11 21:00:00,Defective / Damaged,Approved
RET-5323d69f-7c43-45d1-b4e3-a6641e2de54f,ORD-e704be95-dc40-4a66-9a80-08a149fa530d,CUST-19f698ab-8acf-4648-9527-87e540901f2a,2026-06-24 01:00:00,Defective / Damaged,Approved
RET-418903bf-a4e6-4f0d-9c3c-30a0765cb8bc,ORD-ca4dee5d-c31b-4c14-983b-36a13a5c1dbe,CUST-016ec8c2-99c8-4448-98be-ca31d22dbcf9,2025-05-13 02:00:00,Late Delivery,Approved
RET-ba4d0189-2f36-4f6a-a2a9-f1844631d631,ORD-c56a9483-818d-4bcc-87c2-aec2883f4569,CUST-d09364e1-e4fa-421e-ac13-f0b4f257406f,2025-11-24 07:00:00,Item Not as Described,Approved
RET-7890ce24-df1a-432c-b7ba-ede3eeefec10,ORD-ec8bfb36-e1f7-486a-b139-c8a546dbaa81,CUST-ab25de93-0d02-475a-bfa3-3deb0ddc24b8,2026-05-22 13:00:00,Item Not as Described,Approved
RET-78eb7c2b-dfd5-44f8-8262-b6aa5ec33e22,ORD-864ff743-8278-4171-a375-04d08b27390d,CUST-12d56580-2e45-4bed-ad50-2bf5a3f11b22,2025-07-24 07:00:00,Late Delivery,Approved
RET-5aacf515-466c-4188-8602-90595bbb3cff,ORD-26ed691a-3feb-40fa-870c-a9d0402c2147,CUST-67721f00-66d7-4fea-9701-bb55cad27454,2026-08-19 23:00:00,Wrong Size / Fit,Rejected
RET-85b62296-dab3-4d5e-bd54-79aba6799d28,ORD-4127657d-d577-4c52-b7a5-d4a2e33713c3,CUST-9e999ef6-335c-4d00-90d4-6cc6aa6f7da3,2025-09-15 19:00:00,Item Not as Described,Approved
RET-3699bc61-bfc1-4939-92ea-23b3e9b15927,ORD-0855980b-a91b-48c1-9bd2-64d57de8197a,CUST-f9d4385f-b21d-4dca-b432-a2a8add65dbc,2025-05-17 00:00:00,Late Delivery,Approved
RET-9e3c06e9-b7db-4556-a1b7-a27b6ad5cde8,ORD-8a578c87-89ac-4676-8ed3-cbaffdd72582,CUST-baba7caa-97bb-4cb2-88f0-aac0f8d825fc,2026-02-03 11:00:00,Wrong Size / Fit,Approved
RET-52547089-4901-4900-98aa-952a4273317a,ORD-0ceaa9cd-d62f-44fe-b163-6de942170ddc,CUST-ab725235-8229-4135-9d7c-58c275ec26c2,2026-04-08 00:00:00,Wrong Size / Fit,Approved
RET-c00fb4a4-c00c-4579-8b34-f3fbc71e9af6,ORD-4cd0b0f1-94f0-4bfd-a931-b078a768fb7d,CUST-78337e54-3b4a-4a5f-902c-3a9bc0a56190,2025-06-15 15:00:00,Changed Mind,Rejected
RET-bb52bb0d-5ff8-4a3b-809c-86520a637782,ORD-6d4a748e-404d-4126-9f62-541665e1217c,CUST-473c7352-267c-4388-82c7-369bfc04647c,2025-08-14 17:00:00,Wrong Size / Fit,Rejected
RET-87d8aec6-9e9e-4cff-b141-d578d623ade0,ORD-10309d1c-f00a-429b-a6b6-7b6eebda750c,CUST-ab725235-8229-4135-9d7c-58c275ec26c2,2025-06-06 23:00:00,Item Not as Described,Approved
